Date : 2025-03-21 11:38:26
Directory : /Users/ndriyo/Documents/Code/primepm
Total : 88 files,  17721 codes, 771 comments, 1337 blanks, all 19829 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ndriyo/Documents/Code/primepm/.eslintrc.json                                                 | JSON with Comments |          8 |          0 |          1 |          9 |
| /Users/ndriyo/Documents/Code/primepm/README.md                                                      | Markdown           |         68 |          0 |         29 |         97 |
| /Users/ndriyo/Documents/Code/primepm/app/api/criteria/[criterionId]/route.ts                        | TypeScript         |         93 |          0 |          5 |         98 |
| /Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/comparisons/route.ts     | TypeScript         |         41 |          4 |          8 |         53 |
| /Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/criteria/route.ts        | TypeScript         |         56 |          5 |         12 |         73 |
| /Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/route.ts                 | TypeScript         |         93 |          6 |         17 |        116 |
| /Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/route.ts                             | TypeScript         |         42 |          3 |          9 |         54 |
| /Users/ndriyo/Documents/Code/primepm/app/api/projects/[projectId]/route.ts                          | TypeScript         |        133 |         11 |         27 |        171 |
| /Users/ndriyo/Documents/Code/primepm/app/api/projects/[projectId]/scores/route.ts                   | TypeScript         |         66 |          5 |         12 |         83 |
| /Users/ndriyo/Documents/Code/primepm/app/api/projects/route.ts                                      | TypeScript         |         68 |          8 |         17 |         93 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/dashboard/Dashboard.tsx                         | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/dev/DevAuthSwitcher.tsx                         | TypeScript JSX     |         77 |          1 |          9 |         87 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-details/ProjectDetails.tsx              | TypeScript JSX     |        274 |          7 |         28 |        309 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-details/ProjectInformation.tsx          | TypeScript JSX     |        234 |          7 |         24 |        265 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ProjectEntryForm.tsx              | TypeScript JSX     |        269 |         22 |         41 |        332 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ProjectInfoStep.tsx               | TypeScript JSX     |        214 |         14 |         20 |        248 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ReviewSubmitStep.tsx              | TypeScript JSX     |        170 |          9 |         23 |        202 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/SelfAssessmentStep.tsx            | TypeScript JSX     |        157 |         12 |         17 |        186 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/project-selection/ProjectSelection.tsx          | TypeScript JSX     |        121 |          7 |         16 |        144 |
| /Users/ndriyo/Documents/Code/primepm/app/_components/reports/Reports.tsx                             | TypeScript JSX     |        257 |         10 |         24 |        291 |
| /Users/ndriyo/Documents/Code/primepm/app/_contexts/AuthContext.tsx                                   | TypeScript JSX     |        114 |          9 |         17 |        140 |
| /Users/ndriyo/Documents/Code/primepm/app/_contexts/CriteriaContext.tsx                               | TypeScript JSX     |        329 |         48 |         69 |        446 |
| /Users/ndriyo/Documents/Code/primepm/app/_contexts/ProjectContext.tsx                                | TypeScript JSX     |         88 |          4 |         16 |        108 |
| /Users/ndriyo/Documents/Code/primepm/app/criteria/page.tsx                                          | TypeScript JSX     |         17 |          0 |          4 |         21 |
| /Users/ndriyo/Documents/Code/primepm/app/details/[projectId]/page.tsx                               | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/ndriyo/Documents/Code/primepm/app/details/page.tsx                                           | TypeScript JSX     |         24 |          4 |          5 |         33 |
| /Users/ndriyo/Documents/Code/primepm/app/globals.css                                                | CSS                |         22 |          0 |          3 |         25 |
| /Users/ndriyo/Documents/Code/primepm/app/layout.tsx                                                 | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /Users/ndriyo/Documents/Code/primepm/app/page.tsx                                                   | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/ndriyo/Documents/Code/primepm/app/projects/new/page.tsx                                      | TypeScript JSX     |         14 |          0 |          3 |         17 |
| /Users/ndriyo/Documents/Code/primepm/app/providers.tsx                                              | TypeScript JSX     |         33 |          1 |          4 |         38 |
| /Users/ndriyo/Documents/Code/primepm/app/reports/page.tsx                                           | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/ndriyo/Documents/Code/primepm/app/selection/page.tsx                                         | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/ndriyo/Documents/Code/primepm/components/layout/PageLayout.tsx                               | TypeScript JSX     |         26 |          2 |          5 |         33 |
| /Users/ndriyo/Documents/Code/primepm/components/layout/Sidebar.tsx                                  | TypeScript JSX     |         90 |          2 |          9 |        101 |
| /Users/ndriyo/Documents/Code/primepm/components/ui/ConfirmationDialog.tsx                           | TypeScript JSX     |         36 |          0 |          4 |         40 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/activeContext.md                                   | Markdown           |         53 |          0 |          7 |         60 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/processFlow.md                                     | Markdown           |         27 |          0 |          5 |         32 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/productContext.md                                  | Markdown           |         35 |          0 |         19 |         54 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/progress.md                                        | Markdown           |         70 |          0 |          5 |         75 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/projectBrief.md                                    | Markdown           |         65 |          0 |         22 |         87 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/systemPatterns.md                                  | Markdown           |         45 |          0 |         10 |         55 |
| /Users/ndriyo/Documents/Code/primepm/memory-bank/techContext.md                                     | Markdown           |         38 |          0 |          8 |         46 |
| /Users/ndriyo/Documents/Code/primepm/next-env.d.ts                                                  | TypeScript         |          0 |          4 |          2 |          6 |
| /Users/ndriyo/Documents/Code/primepm/next.config.mjs                                                | JavaScript         |         12 |          1 |          2 |         15 |
| /Users/ndriyo/Documents/Code/primepm/package-lock.json                                              | JSON               |      8,775 |          0 |          1 |      8,776 |
| /Users/ndriyo/Documents/Code/primepm/package.json                                                   | JSON               |         45 |          0 |          1 |         46 |
| /Users/ndriyo/Documents/Code/primepm/postcss.config.js                                              | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/initial/migration.sql                        | MS SQL             |        243 |         30 |         40 |        313 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/initial/seed.sql                             | MS SQL             |         88 |         22 |         19 |        129 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/README.md                           | Markdown           |         79 |          0 |         30 |        109 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/migration.sql                       | MS SQL             |        235 |         30 |         40 |        305 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed.sql                            | MS SQL             |         34 |         11 |         10 |         55 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_01_organizations_users.sql     | MS SQL             |         19 |          8 |          6 |         33 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_02_criteria.sql                | MS SQL             |         37 |          7 |          6 |         50 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_03_projects.sql                | MS SQL             |         19 |          6 |          5 |         30 |
| /Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_04_portfolios.sql              | MS SQL             |         43 |         11 |         10 |         64 |
| /Users/ndriyo/Documents/Code/primepm/public/assets/react.svg                                        | XML                |          1 |          0 |          0 |          1 |
| /Users/ndriyo/Documents/Code/primepm/public/vite.svg                                                | XML                |          1 |          0 |          0 |          1 |
| /Users/ndriyo/Documents/Code/primepm/src/components/dashboard/MetricsSummary.tsx                    | TypeScript JSX     |         64 |          0 |          4 |         68 |
| /Users/ndriyo/Documents/Code/primepm/src/components/dashboard/RiskQuadrantChart.tsx                 | TypeScript JSX     |         80 |          7 |          9 |         96 |
| /Users/ndriyo/Documents/Code/primepm/src/components/dashboard/StatusChart.tsx                       | TypeScript JSX     |         45 |          0 |          5 |         50 |
| /Users/ndriyo/Documents/Code/primepm/src/components/dashboard/TopProjects.tsx                       | TypeScript JSX     |         68 |          0 |          4 |         72 |
| /Users/ndriyo/Documents/Code/primepm/src/components/layout/Layout.tsx                               | TypeScript JSX     |         26 |          2 |          4 |         32 |
| /Users/ndriyo/Documents/Code/primepm/src/components/layout/Sidebar.tsx                              | TypeScript JSX     |         85 |          2 |          8 |         95 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/AHPWizard.tsx                 | TypeScript JSX     |        194 |          6 |         29 |        229 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/CriteriaManagement.tsx        | TypeScript JSX     |        482 |         15 |         36 |        533 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/CriteriaVersionManagement.tsx | TypeScript JSX     |        369 |          8 |         33 |        410 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/ProjectCard.tsx               | TypeScript JSX     |         76 |          0 |          9 |         85 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/ProjectMatrix.tsx             | TypeScript JSX     |        184 |          6 |         17 |        207 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/ProjectRadarChart.tsx         | TypeScript JSX     |         28 |          1 |          6 |         35 |
| /Users/ndriyo/Documents/Code/primepm/src/components/project-selection/ProjectSelectionTable.tsx     | TypeScript JSX     |        216 |         16 |         36 |        268 |
| /Users/ndriyo/Documents/Code/primepm/src/data/projects.ts                                           | TypeScript         |        276 |          7 |         16 |        299 |
| /Users/ndriyo/Documents/Code/primepm/src/hooks/useCriteria.ts                                       | TypeScript         |        284 |         31 |         45 |        360 |
| /Users/ndriyo/Documents/Code/primepm/src/hooks/useProjects.ts                                       | TypeScript         |        188 |         21 |         30 |        239 |
| /Users/ndriyo/Documents/Code/primepm/src/index.css                                                  | CSS                |         22 |          0 |          3 |         25 |
| /Users/ndriyo/Documents/Code/primepm/src/lib/adapters.ts                                            | TypeScript         |         34 |         12 |          7 |         53 |
| /Users/ndriyo/Documents/Code/primepm/src/lib/fetchInterceptor.ts                                    | TypeScript         |         17 |          3 |          6 |         26 |
| /Users/ndriyo/Documents/Code/primepm/src/lib/prisma.ts                                              | TypeScript         |         42 |         12 |          9 |         63 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/BaseRepository.ts                             | TypeScript         |        129 |         37 |         35 |        201 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/CriteriaRepository.ts                         | TypeScript         |        374 |         73 |         59 |        506 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/OrganizationRepository.ts                     | TypeScript         |        141 |         27 |         26 |        194 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/PortfolioRepository.ts                        | TypeScript         |        411 |         62 |         62 |        535 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/ProjectRepository.ts                          | TypeScript         |        328 |         51 |         57 |        436 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/UserRepository.ts                             | TypeScript         |        179 |         39 |         29 |        247 |
| /Users/ndriyo/Documents/Code/primepm/src/repositories/index.ts                                      | TypeScript         |          6 |          1 |          1 |          8 |
| /Users/ndriyo/Documents/Code/primepm/tailwind.config.js                                             | JavaScript         |         28 |          1 |          1 |         30 |
| /Users/ndriyo/Documents/Code/primepm/tsconfig.json                                                  | JSON with Comments |         33 |          0 |          1 |         34 |
| Total                                                                                               |                    |     17,721 |        771 |      1,337 |     19,829 |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
